,Date Added,category,sellerlink,sellerlink-url,sellerstorefront-url,sellerproductcount,sellerdetails,seller business name,businessaddress,Count of seller brands,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,Hero Product 1 #ratings,Hero Product 2 #ratings,Sample brand name,Sample Brand URL,Positive Percentage,Ratings,emails,phoneno,links,Positive % last 12 months,Number of ratings
12,2020-11-15,Garden,Seller 41,Seller 41-link,Seller 41-storefrontlink,1-16 of 302 results,"Impressum

Gesetzliche Anbieterkennung:

Elektrotechik Falk GbR
vertreten durch die Gesellschafter: Edwin Falk, Eugen Falk
Im Schönblick 16
51597 Morsbach
Deutschland

Telefon: 022939011211
E-Mail: info@kabel-licht.de

USt-IdNr.: DE 275645882

Alternative Streitbeilegung:

Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)bereit, aufrufbar unter /ec.europa.eu/odr.

Wir sind bereit, an Streitbeilegungsverfahren vor Verbraucherschlichtungsstellen teilzune...",Business Name:Elektrotechnik Falk GbR,Im Schönblick 16MorsbachNRW51597DE,8,0,1,1,370,141,ETF,https://www.amazon.de/-/en/ETF/b/ref=bl_dp_s_web_10136917031?ie=UTF8&node=10136917031&field-lbr_brands_browse-bin=ETF,99,520,['info@kabel-licht.de'],"['0229390112', '2756458']","['kabel-licht.de', '/ec.europa.eu/odr.', 'teilzune...']",99,520
13,2020-11-15,Garden,Seller 884,Seller 884-link,Seller 884-storefrontlink,1-16 of 71 results,Vitapur GmbH is committed to providing each customer with the highest standard of customer service.,Business Name:Vitapur GmbH,Gabelsbergerstraße 5Klagenfurt am Wörthersee9020AT,4,0,0,2,1178,829,ROSMARINO,https://www.amazon.de/-/en/ROSMARINO/b/ref=bl_dp_s_web_20313259031?ie=UTF8&node=20313259031&field-lbr_brands_browse-bin=ROSMARINO,98,455,[],[],[],98,455
14,2020-11-15,Garden,Seller 221,Seller 221-link,Seller 221-storefrontlink,"1-16 of over 1,000 results","Kurz & Moderwaren
Großhandel Karin Janke
Inhaberin: Karin Janke  Straße der Freiheit 20-4838 DoberschützTelefon: 03423 / 755622
Telefax: 03423 / 752003E-Mail: kvm-janke@web.de
Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE 141 769 817
Online-Streitbeilegung gemäß Art. 14 Abs. 1 ODR-VO:
 Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/",Business Name:Großhandel Karin Janke,Straße der Freiheit2Doberschütz04838DE,14,0,0,2,2160,1776,Prym,https://www.amazon.de/-/en/Prym/b/ref=bl_dp_s_web_7039954031?ie=UTF8&node=7039954031&field-lbr_brands_browse-bin=Prym,98,449,['kvm-janke@web.de'],[],"['web.de', 'https://ec.europa.eu/consumers/odr/']",98,449
15,2020-11-15,Garden,Seller 943,Seller 943-link,Seller 943-storefrontlink,"1-16 of over 3,000 results","Impressum ABS Werbestudio Inhaber: Martin Parey Alter Hafen Nord 215&br; 18069 Rostock&br; Deutschland&br; &br; Telefon: 038120268880&br; &br; E-Mail: anfrage@abs-werbestudio.de Umsatzsteuer-Identifikationsnummer: DE 210271922 Die Europäische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) bereit, die Sie hier finden ec.europa.eu/consumers/odr/. Verbraucher haben die Möglichkeit, diese Plattform für die Beilegung ihrer Streitigkeiten zu nutzen.&br; Zur Beilegung von Streitigkeit...",Business Name:ABS Werbestudio,Alter Hafen Nord 215RostockMecklenburg-Vorpommern18069DE,3,0,0,1,895,121,Wandtattoo Loft,https://www.amazon.de/-/en/Wandtattoo-Loft/b/ref=bl_dp_s_web_16449464031?ie=UTF8&node=16449464031&field-lbr_brands_browse-bin=Wandtattoo+Loft,99,394,['anfrage@abs-werbestudio.de'],"['0381202688', '2102719']","['abs-werbestudio.de', 'ec.europa.eu/consumers/odr/.', 'nutzen.&br', 'Streitigkeit...']",99,394
16,2020-11-15,Garden,Seller 584,Seller 584-link,Seller 584-storefrontlink,1-16 of 952 results,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Thomas Erfurth
 Gewerbepark West 9
 97525 Schwebheim
 Deutschland
 Telefon: 09723 9371 60
 Telefax: 09723 9371 66
 E-Mail: eitner@te-importe.de
 USt-IdNr.: DE 168250370
 
 
 Alternative Streitbeilegung:
 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform) bereit, aufrufbar unter /ec.europa.eu/odr.
 
 Wir sind seit 01.09.2015 Mitglied der Initiative ""FairCommerce"".
Nähere Informationen hierzu finden Sie unter...",Business Name:Thomas Erfurth,Gewerbepark West 9Schwebheim97525DE,15,0,0,1,2857,227,Pleatco,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Pleatco,98,344,['eitner@te-importe.de'],"['723 9371', '723 9371', '1682503']","['te-importe.de', '/ec.europa.eu/odr.', '01.09.2015', 'unter...']",98,344
17,2020-11-15,Garden,Seller 668,Seller 668-link,Seller 668-storefrontlink,1-16 of 954 results,"ImpressumFrau Jeanette Reiners, 
handelnd unter der geschäftlichen Bezeichnung:
Aquaristik und Teichfachhandel
Jeanette Reiners
Rödgener Str. 4
41844 Wegberg
Deutschland

Telefon: 02436 339091
Telefax: 02436 339092
E-Mail: sales@tomodachi-koifood.com
Umsatzsteuer Identnummer: DE 160830797Link auf die Plattform der EU-Kommission zur Online-Streitbeilegung: 
 /ec.europa.eu/consumers/odrZur Teilnahme an einem Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle bin ich nicht verpflichtet und grund...",Business Name:Jeanette Reiners,Roedgener Strasse4Wegberg41844DE,16,0,1,1,253,152,Tomodachi,https://www.amazon.de/-/en/Tomodachi/b/ref=bl_dp_s_web_16081799031?ie=UTF8&node=16081799031&field-lbr_brands_browse-bin=Tomodachi,98,318,['sales@tomodachi-koifood.com'],"['436 3390', '436 3390', '1608307']","['tomodachi-koifood.com', '/ec.europa.eu/consumers/odrZur', 'grund...']",98,318
18,2020-11-15,Garden,Seller 437,Seller 437-link,Seller 437-storefrontlink,1-16 of 912 results,"Luna24 präsentiert Neues und Spektakuläres aus Sport und Fitness, Gadgets zum Staunen und Neues aus aller Welt!!!Impressum:Lene Maia Costa, Erlenweg 2, 77731 LegelshurstTel: 07852-9354105Umsatzsteuer-ID DE301625649
Steueridentifikation
Steuernummer: 0825424016

Bankverbindung
 Name der Bank: PostbankKonto-Nr. 877414432, Blz: 36010043IBAN: DE 42360100430877414432
 BIC: PBNKDEFF
 Kontoinhaber: Nelcilene Maia Costa""Plattform der EU-Kommission zur Online- Streitbeilegung: /ec.europa.eu/consumers/odr„Den an...",Business Name:Nelcilene Maia Costa,Erlenweg2Willstaett77731DE,15,0,0,1,6251,2443,joka international GmbH,https://www.amazon.de/-/en/joka-international-GmbH/b/ref=bl_dp_s_web_1723317031?ie=UTF8&node=1723317031&field-lbr_brands_browse-bin=joka+international+GmbH,99,308,[],"['852-9354105', '3016256', '0825424016', '8774144', '3601004', '4236010043', '0877414432']","['/ec.europa.eu/consumers/odr', 'an...']",99,308
19,2020-11-15,Garden,Seller 841,Seller 841-link,Seller 841-storefrontlink,"1-16 of over 10,000 results","Autoteile Jakobs GmbHSiedlungsstraße 15D-66773 Schwalbach/HülzweilerTelefon: 06831-9458970Telefax: 06831-94589729E-Mail: info@lenkgetriebe.netGeschäftsführung: Silke LukasRegistergericht: Amtsgericht SaarbrückenRegisternummer: HRB 16939 Umsatzsteuer-ID-Nummer: DE814946328Link auf die Online-Streitbeilegungs-Plattform der EU:   https://ec.europa.eu/consumers/odr/Unser Datenschutzbeauftragter: dn@prokom.de
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier f...",Business Name:Autoteile Jakobs GmbH,Siedlungsstrasse15Hülzweiler66773DE,15,0,0,0,16961,119,Triscan,https://www.amazon.de/-/en/Triscan/b/ref=bl_dp_s_web_2480892031?ie=UTF8&node=2480892031&field-lbr_brands_browse-bin=Triscan,94,305,"['info@lenkgetriebe.netGesch', 'dn@prokom.de']","['831-9458970', '831-9458972', '8149463']","['lenkgetriebe.netGeschäftsführung', 'https://ec.europa.eu/consumers/odr/Unser', 'prokom.de', 'f...']",94,305
20,2020-11-15,Garden,Seller 935,Seller 935-link,Seller 935-storefrontlink,"1-16 of over 1,000 results","Impressum
 
 Gesetzliche Anbieterkennung:
 
 Thomas Wagner
 Gewerbestr. 5
 89290 Buch (Schwaben)
 Deutschland
 Telefon: 07343 919260
 Telefax: 07343 919259
 E-Mail: info@automatenwagner.de
 USt-IdNr.: DE 209142648
 
 Wir sind seit 18.12.2015 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de. 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die...",Business Name:Wagner Automaten,Gewerbestr.5BuchBayern89290DE,15,0,0,1,2443,1363,Wagner Automaten,https://www.amazon.de/-/en/Wagner-Automaten/b/ref=bl_dp_s_web_1700112031?ie=UTF8&node=1700112031&field-lbr_brands_browse-bin=Wagner+Automaten,99,304,['info@automatenwagner.de'],"['343 9192', '343 9192', '2091426']","['automatenwagner.de', '18.12.2015', '.fair-commerce.de.', 'https://ec.europa.eu/consumers/odr/', 'die...']",99,304
21,2020-11-15,Garden,Seller 277,Seller 277-link,Seller 277-storefrontlink,"1-16 of over 70,000 results","Impressum
Gesetzliche Anbieterkennung:
Leotie GmbH
diese vertreten durch den Geschäftsführer Thorsten Kötter , Walter Rickel
Raiffeisenstr. 1
61191 Rosbach
Deutschland
Telefon: 06003-9355800
E-Mail: info@leotie.de
USt-IdNr.: DE815567750
eingetragen im Handelsregister des Amtsgerichtes Friedberg
Handelsregisternummer HRB 8031
Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung
(OS-Plattform) bereit, aufrufbar unter //ec.europa.eu/odr.
Wir sind Mitglied der Initiati...",Business Name:Leotie GmbH,Raiffeisenstrasse1Rosbach61191DE,1,0,1,2,92,63,LEotiE SINCE 2004,https://www.amazon.de/-/en/LEotiE-SINCE-2004/b/ref=bl_dp_s_web_3257256031?ie=UTF8&node=3257256031&field-lbr_brands_browse-bin=LEotiE+SINCE+2004,96,304,['info@leotie.de'],"['003-9355800', '8155677']","['leotie.de', '//ec.europa.eu/odr.', 'Initiati...']",96,304
22,2020-11-15,Garden,Seller 55,Seller 55-link,Seller 55-storefrontlink,"1-16 of over 5,000 results","Impressum

 Gesetzliche Anbieterkennung:

 Kalitec Verbindungstechnik GmbH

 diese vertreten durch den Geschäftsführer Kai Lindemann, Kevin Braasch

 Lindgesfeld 8h

 42653 Solingen

 Deutschland

 Telefon: 0212|5990639

 Telefax: 0212/5993427

 E-Mail: 

 info@kalishop.de

 USt-IdNr.: DE 313924120

 eingetragen im Handelsregister des Amtsgerichtes Wuppertal

 Handelsregisternummer HRB 28439

 Alternative Streitbeilegung:

 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)

 berei...",Business Name:Kalitec Verbindunstechnik GmbH,Lindgesfeld 8hLindgesfeld 8HSolingenNRW42653DE,15,0,2,1,698,268,SW-Stahl,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=automotive&field-keywords=SW-Stahl,98,286,['info@kalishop.de'],"['5990639', '5993427', '3139241']","['kalishop.de', 'berei...']",98,286
23,2020-11-15,Garden,Seller 959,Seller 959-link,Seller 959-storefrontlink,1-16 of 357 results,"ImpressumAngaben gemäß § 5 TMG Leonhard Wolff
Schönthal 5
52379 Langerwehe Vertreten durch: 
Leonhard Wolff Kontakt:
Telefon: 02423-408644
Fax: 02423-408645
E-Mail: wasserpflanzen@t-online.de Umsatzsteuer-ID: 
Umsatzsteuer-Identifikationsnummer gemäß §27a Umsatzsteuergesetz: DE 812591700 Haftungsausschluss: 

Haftung für Inhalte

Die Inhalte unserer Seiten wurden mit größter Sorgfalt erstellt. Für die Richtigkeit, Vollständigkeit und Aktualität der Inhalte können wir jedoch keine Gewähr übernehmen. Als Die...",Business Name:Wasserpflanzen Wolff,Schönthal5Langerwehe52379DE,2,0,0,2,178,166,Visit the Wasserpflanzen Wolff Store,https://www.amazon.de/-/en/stores/+Wasserpflanzen+Wolff/page/E8506975-F16C-4F25-89E6-EFDBAF50BC2A?ref_=ast_bln,96,267,['wasserpflanzen@t-online.de'],"['423-4086', '423-4086', '8125917']","['t-online.de', 'Die...']",96,267
24,2020-11-15,Garden,Seller 128,Seller 128-link,Seller 128-storefrontlink,"1-16 of over 2,000 results","Impressum Gesetzliche Anbieterkennung: Kirchner GmbH
 diese vertr. d. d. Geschäftsführer Gerd Kirchner, Marius Kirchner
 Nikolaus-Fey-Str. 17
 97447 Gerolzhofen
 Deutschland
 Telefon: 0938297910
 Telefax: 09382979179
 E-Mail: info@kirchner24.de
 USt-IdNr.: DE133848330
 eingetragen im Handelsregister des Amtsgerichtes Schweinfurt
 Handelsregisternummer HRB 0849 Berufshaftpflichtversicherung
 GENERALI Versicherungen
 Adenauerring 11
 81737
 München
räumlicher Geltungsbereich der Berufshaftpflichtversicherung: i...",Business Name:Kirchner GmbH,Nikolaus Fey Str17Gerolzhofen97447DE,14,0,0,0,7072,5499,Makita,https://www.amazon.de/-/en/Makita/b/ref=bl_dp_s_web_3200602031?ie=UTF8&node=3200602031&field-lbr_brands_browse-bin=Makita,98,256,['info@kirchner24.de'],"['0938297910', '0938297917', '1338483']","['kirchner24.de', 'i...']",98,256
25,2020-11-15,Garden,Seller 895,Seller 895-link,Seller 895-storefrontlink,1-16 of 491 results,"---> Hinweis: Den anklickbaren Link zur Plattform der EU-Kommission zur Online-Streitbeilegung und weitere Informationen erreichen Sie, indem Sie unten auf den Punkt „Mehr lesen“ klicken. Anschriften:
 Infinite Motion Magnetsysteme GmbH
 Wilder-Mann-Str. 45
 01129 Dresden Shop Information:
 Geschäftsführer: Arwed Graubner
 Handelsregister HRB 37608
 Amtsgericht Dresden
   Kontakt:
 Tel: +49 (0) 351 47 99 031/32
 Fax: +49 (0) 351 47 99 033
 E-Mailadresse: info@infinitemotion.de Umsatzsteuer-Identifikations...",Business Name:Infinite Motion Magnetsysteme GmbH,Wilder-Mann-Str.45Dresdennull01129DE,12,0,0,2,272,215,Viwanda,https://www.amazon.de/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Viwanda,98,247,['info@infinitemotion.de'],[],"['infinitemotion.de', 'Umsatzsteuer-Identifikations...']",98,247
