,seller_details,seller_names,emails,phoneno,links
16,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Daniel Vogeley und Christopher Joachim Gemander GbR
 vertreten durch die Gesellschafter: Daniel Vogeley, Christopher Joachim Gemander
 Auf der Insel 20
 50259 Pulheim
 Deutschland
 Telefon: 022342509631
 
 E-Mail: info@deinegartenwelt.de
 USt-IdNr.: DE316235833
 
 
 Wir sind seit 04.04.2018 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de.
   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegu...",Business Name:Daniel Vogeley und Christopher Gemander GbR,['info@deinegartenwelt.de'],"['0223425096', '3162358']","['deinegartenwelt.de', '04.04.2018', '.fair-commerce.de.', 'Streitbeilegu...']"
17,DINAN is committed to providing each customer with the highest standard of customer service.,Business Name:Dinan LLC,[],[],[]
18,"Vor- und Nachname des Unternehmensvertreters: Rizhi Jiang Name des Unternehmens: HOJC INC Firmenanschrift: 230 PARK AVE FL 10 NEW YORK NY 10169-0499 Telefonnummer: 720-532-4411 Email: Granaryvin@gmail.com Steuerinformation: EIN: 81-3873597 VAT: GB300 3785 38 
The European Commission provides for an Online Dispute Resolution Platform, which you can access here: https://ec.europa.eu/consumers/odr/

Please see the following link for the nationally appointed Alternative Dispute Resolution bodies contac...",Business Name:Tkog Iwy INC,['Granaryvin@gmail.com'],"['169-0499', '720-532-4411', '3873597', '300 3785']","['gmail.com', 'https://ec.europa.eu/consumers/odr/', 'contac...']"
19,"HOCK Design e.K.

Kölner Strasse 45

51766 Engelskirchen

Germany



Tel.: 02262-7075160



amazon@hockdesign.de

 hockdesign.de

HRA 32177 Amtsgericht Köln

Inhaber: Kristof Hock",Business Name:HOCK Design e.K.,['amazon@hockdesign.de'],['262-7075160'],"['e.K.', 'hockdesign.de', 'hockdesign.de']"
20,ISE Forest & Garden is committed to providing each customer with the highest standard of customer service.,Business Name:International Systems and Equipment Ltd.,[],[],[]
21,"IMPRESSUM 
 itenga GmbH
 Am Umspannwerk 2
 66557 Illingen
 Deutschland Tel: 06825 / 89697-0 Fax: 06825 / 89697-20 E-Mail: info@itenga.de Geschäftsführer: Thomas Meiser Registergericht: Amtsgericht Saarbrücken
 Registernummer: HRB 17443 Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE815026868 WEEE-Registrationsnummer: DE 56344043 
 Plattform der EU-Kommission zur Online-Streitbeilegung: ec.europa.eu/consumers/odr Wir sind zur Teilnahme an einem Streitbeilegungsverfahren vor einer...",Business Name:itenga GmbH,['info@itenga.de'],"['8150268', '5634404']","['itenga.de', 'ec.europa.eu/consumers/odr', 'einer...']"
22,"IMPRESSUM   Johannes Zierleyn KG
 Am Schweinemarkt 3
 48529 Nordhorn
 Telefon: +49 5921 834011
Fax: +49 5921 834044
 E-Mail: nils.holm@zierleyn.de
 Johannes Zierleyn KG wird vertreten durch: Geschäftsführung  Peter Holm     Registergericht: Amtsgericht Osnabrück
 Handelsregister
 Registernummer: HRB 130013     Umsatzsteuer-Identifikationsnummer gemäß § 27a Umsatzsteuergesetz:   DE117046865 

Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.eur...",Business Name:Johannes Zierleyn KG,['nils.holm@zierleyn.de'],"['921 8340', '921 8340', '1170468']","['nils.holm', 'zierleyn.de', 'https://ec.eur...']"
23,ka mo xi is committed to providing each customer with the highest standard of customer service.,Business Name:fen yang shi jin lian ca xie dian,[],[],[]
24,"Impressum

Gesetzliche Anbieterkennung:

Elektrotechik Falk GbR
vertreten durch die Gesellschafter: Edwin Falk, Eugen Falk
Im Schönblick 16
51597 Morsbach
Deutschland

Telefon: 022939011211
E-Mail: info@kabel-licht.de

USt-IdNr.: DE 275645882

Alternative Streitbeilegung:

Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)bereit, aufrufbar unter /ec.europa.eu/odr.

Wir sind bereit, an Streitbeilegungsverfahren vor Verbraucherschlichtungsstellen teilzune...",Business Name:Elektrotechnik Falk GbR,['info@kabel-licht.de'],"['0229390112', '2756458']","['kabel-licht.de', '/ec.europa.eu/odr.', 'teilzune...']"
25,Kafuty is committed to providing each customer with the highest standard of customer service.,Business Name:Shen zhen shi xin yan yuan ke ji you xian gong si,[],[],[]
26,kaifaqukuncuibaihuodian is committed to providing each customer with the highest standard of customer service.,Business Name:xianjingjijishukaifaqukuncuibaihuodian,[],[],[]
27,kaifaquli is committed to providing each customer with the highest standard of customer service.,Business Name:xianjingjijishukaifaqulingmeibaihuodian,[],[],[]
28,Kaifeng Zhenyan Trading Company is committed to providing each customer with the highest standard of customer service.,Business Name:KaiFengZhenYanShangMaoYouXianGongSi,[],[],[]
29,kaifengshixiangfuqufamanrizayongpindian is committed to providing each customer with the highest standard of customer service.,Business Name:kaifengshixiangfuqufamanrizayongpindian,[],[],[]
30,kaihuaruichenmaoyiyouxiangongsi is committed to providing each customer with the highest standard of customer service.,Business Name:kaihuaruichenmaoyiyouxiangongsi,[],[],[]
31,kaikaishop is committed to providing each customer with the highest standard of customer service.,Business Name:taiyuanshixiaodianqurongxindashanghang,[],[],[]
32,kaipingqubai is committed to providing each customer with the highest standard of customer service.,Business Name:tangshanshikaipingqubaiquanjidianjingxiaobu,[],[],[]
33,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Georg Kaiser
 kaiser24.shop 
 Berliner Str. 155a
 42277 Wuppertal
 Deutschland
 Telefon: 020260937540
 Telefax: 020260937541
 E-Mail: info@kaiser24.shop
 USt-IdNr.: DE 241714748
 
 
 
 
 
 Alternative Streitbeilegung:
 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform) bereit, aufrufbar unter ec.europa.eu/odr. 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: ...",Business Name:Georg Kaiser,['info@kaiser24.shop'],"['0202609375', '0202609375', '2417147']","['kaiser24.shop', 'kaiser24.shop', 'ec.europa.eu/odr.', '...']"
34,"Impressum der Kaleido.Shop GmbH
Kaleido.Shop GmbH
Neubrückenstr. 7C
33142 Büren
Telefon: 02951/9849790 (Montag bis Freitag 9:00 - 16:00 Uhr.)
Fax: 02951/9849797
E-Mail: info@kaleidoshop.de

Geschäftsführer:
Thomas Pietz
Thomas Schade
Registergericht: Amtsgericht Paderborn
Registernummer: HRB 4350
Umsatzsteuer-Identifikationsnummer gem. Par. 27a Umsatzsteuergesetz: DE231187067 

Wir sind zur Teilnahme an einem Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle weder verpflichtet noch bereit.

Die E...",Business Name:Kaleido.Shop GmbH,['info@kaleidoshop.de'],"['9849790', '9849797', '2311870']","['Kaleido.Shop', 'Kaleido.Shop', 'kaleidoshop.de', 'E...']"
35,"Impressum

 Gesetzliche Anbieterkennung:

 Kalitec Verbindungstechnik GmbH

 diese vertreten durch den Geschäftsführer Kai Lindemann, Kevin Braasch

 Lindgesfeld 8h

 42653 Solingen

 Deutschland

 Telefon: 0212|5990639

 Telefax: 0212/5993427

 E-Mail: 

 info@kalishop.de

 USt-IdNr.: DE 313924120

 eingetragen im Handelsregister des Amtsgerichtes Wuppertal

 Handelsregisternummer HRB 28439

 Alternative Streitbeilegung:

 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)

 berei...",Business Name:Kalitec Verbindunstechnik GmbH,['info@kalishop.de'],"['5990639', '5993427', '3139241']","['kalishop.de', 'berei...']"
36,KAMAI is committed to providing each customer with the highest standard of customer service.,Business Name:KAMAI.PL GmbH,[],[],[]
37,"Impressum
 Schindler + Hofmann GmbH & Co KG
 Georg-Mehrtens-Str. 5
 01237 Dresden
 
 Sitz der Gesellschaft: Dresden
 Registergericht: Dresden HRA 7888
 
 Persönlich haftende Gesellschafterin:
 Schindler+Hofmann Verwaltungs-GmbH
 Sitz der Gesellschaft: Dresden
 Registergericht: Dresden HRB 29398
 Geschäftsführer: Sven Schindler, Jens Hofmann
 
 Tel: +49-(0)351-259300-11
 Fax: +49-(0)351-259300-33
 Email: info@kamdi24.de
 
 UST-ID: DE274121967
 
 Deutsche Bank Chemnitz
 DE02 8707 0000 0647 9596 00
 
Online-Schlichtungs...",Business Name:Schindler+Hofmann GmbH & Co. KG,['info@kamdi24.de'],"['351-2593', '351-2593', '2741219', '707 0000', '647 9596']","['kamdi24.de', 'Online-Schlichtungs...']"
38,Kaminlicht is committed to providing each customer with the highest standard of customer service.,Business Name:Kaminlicht GmbH,[],[],[]
39,"Herzlich willkommen bei kaminplus! Wir finden, es ist immer eine heiße Idee, bei uns fündig zu werden! Wir bieten Ihnen alles rund um den Kamin, von wasserführenden Kamineinsätzen, Schornsteinen, Kaminbestecken, Luftgittern bis zum Kaminanzünder. kaminplus: immer eine heiße Idee...  Impressum    Gesetzliche Anbieterkennung:    kaminplus GmbH  diese vertreten durch den Geschäftsführer Robert Stachurski   Lecker Chaussee 20  25917 Leck  Deutschland  Telefon: 046628917345  Telefax: 046628917346  E-...",Business Name:kaminplus GmbH,[],"['0466289173', '0466289173']","['Idee...', 'E-...']"
40,"Impressum
 Achim Schmitt
 Menanusstr. 10a
 97440 Werneck
 Deutschland
 Tel: 09363-9977217
 Fax: 09363-9977211
 E-Mail: kundenservice@kamin-store24.de
 Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE176946526 
 Wir sind seit 16.02.2016 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter www.fair-commerce.de 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter dies...",Business Name:Handelsvertretung Achim Schmitt,['kundenservice@kamin-store24.de'],"['363-9977217', '363-9977211', '1769465']","['kamin-store24.de', '16.02.2016', 'www.fair-commerce.de', 'https://ec.europa.eu/consumers/odr/', 'dies...']"
41,Markenname:Kamoku101Markenno:01870311Vollständiger Name des gesetzlichen Vertreters:xianfeng chenGeschäftsname:taizhoushi luqiaobeierjin diannao youxiangongsiGeschäftsart:LtdHandelsregisternummer:331004000149139Kundendienstadresse:dianzishumacheng sanceng 3988 haotaizhoushi luqiazhejiangsheng318050CNGeschäftsadresse:dianzishumacheng sanceng 3988 haotaizhoushi luqiazhejiangsheng318050CN,Business Name:taizhoushi luqiaobeierjin diannao youxiangongsi,[],"['0187031', '3310040001']",[]
42,"Gesetzliche Anbieterkennung:
 
 Samir Zamel
 Bockholtstr 151
 41460 Neuss
 Deutschland
 Telefon: 02131 4055551
 Telefax: (02131) 7727195
 E-Mail: amazon@kanana-online.de
 USt-IdNr.: DE 257455410
 
 
 Alternative Streitbeilegung:
 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform) bereit, aufrufbar unter ec.europa.eu/odr.
 
 Wir sind seit 03.12.2015 Mitglied der Initiative ""FairCommerce"".
Nähere Informationen hierzu finden Sie unter www.fair-commerce...",Business Name:Samir Zamel,['amazon@kanana-online.de'],"['131 4055551', '7727195', '2574554']","['kanana-online.de', 'ec.europa.eu/odr.', '03.12.2015', 'www.fair-commerce...']"
43,kangtao is committed to providing each customer with the highest standard of customer service.,Business Name:zhoukoushiyoubenshangmaoyouxiangongsi,[],[],[]
44,"Markus Waas

Kanister-Vertrieb MW

Münchner Str. 41

86641 Rain

Deutschland



Tel.: 09090/921-774

Fax: 09090/921-773

E-Mail: info@kanister-vertrieb.de
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show",Business Name:Kanister-Vertrieb MW Markus Waas,['info@kanister-vertrieb.de'],[],"['kanister-vertrieb.de', 'https://ec.europa.eu/consumers/odr/Unter', 'https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show']"
45,"The business address is:  K A Parts Limited, Elles House, 4b Invincible Road, Farnborough, Hants, GU14 7QU, United Kingdom The price stated is valid for 14 days from the date of purchase.  Goods will be despatched from stock within working 5 working days of receipt of payment.   If goods are not in stock this will have been communicated in the item description or we will notify you within 5 working days.  Substitute goods will not be supplied if an item is out of stock.   You have the right to c...",Business Name:K A Parts Limited,[],[],['c...']
46,"Karabars ist der Online-Handel Arm Karabar Ltd, ein Familienunternehmen und geführtes Unternehmen mit Ursprung zurück bis 1999, mit über 10 Jahren Erfahrung in der Gepäck-und Reise-Accessoires Markt. Online-Handel seit 2004, ist Karabars schnell zu einem der UK `s führenden Online-Gepäck-und Reise-Accessoires Händler. Während mehr als 10 Jahren Handel mit unserer Philosophie ist einfach geblieben, zu einem One-Stop-Gepäck-und Reise-Zubehör-Shop sein. Wir verdanken unseren Erfolg und Wachstum für...",Business Name:KARABAR LTD,[],[],['für...']
47,Karabu srls is committed to providing each customer with the highest standard of customer service.,Business Name:Karabu srls,[],[],[]
48,Karen Bunyan is committed to providing each customer with the highest standard of customer service.,Business Name:wuyiguangchangmaoyiyouxiangongsi,[],[],[]
49,"Creativ-Discount & Party-Discount Köln GmbH & Co. KG
 Hohenstaufenring 66-70
 50674 Köln Deutschland
 
 Tel.: +49 221 1207270 Fax: +49 221 12072715 E-Mail: koeln@party-discount.de
 
 Registergericht: Amtsgericht Köln
 Registernummer: HRA 27904
 
 Die Creativ-Discount & Party-Discount Köln GmbH & Co. KG wird vertreten durch die persönlich haftende Gesellschafterin: Creativ-Discount & Party-Discount Köln Beteiligungs GmbH, Registergericht: Amtsgericht Köln, HRB 69989.
 
Diese wiederum wird vertreten durch d...",Business Name:Creativ-Discount & Party-Discount Köln GmbH & Co. KG,['koeln@party-discount.de'],"['221 1207270', '221 1207271']","['party-discount.de', 'd...']"
50,"Karneval-Fasching-Shop Inhaber: Regina Wiese
 
 Zum Möhnewehr 2
 D-59755 Arnsberg
 E-Mail: info@karneval-fasching-shop.de Tel: 02938-979484 (10.00h - 12.00h)
 
 UStid-Nr. DE 814367597 Retouren: Karneval-Fasching-Shop, Zum Möhnewehr 2, 59755 Arnsberg 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa.eu/odr/m...",Business Name:Regina Wiese,['info@karneval-fasching-shop.de'],"['938-9794', '8143675']","['karneval-fasching-shop.de', '10.00h', '12.00h', 'https://ec.europa.eu/consumers/odr/', 'https://webgate.ec.europa.eu/odr/m...']"
51,"Impressum



Gesetzliche Anbieterkennung:



Helmut Linha

katerrot27

Königsberger Ring 11 b

65239 Hochheim

Deutschland

Telefon: 01742483335

E-Mail: katerrot27@aol.com

USt-IdNr.: DE297122811







 


Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show",Business Name:katerrot 27,['katerrot27@aol.com'],"['0174248333', '2971228']","['aol.com', 'https://ec.europa.eu/consumers/odr/Unter', 'https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show']"
52,Katrine Store is committed to providing each customer with the highest standard of customer service.,Business Name:yangzhouzhongyumeishukongjianshejiyouxiangongsi,[],[],[]
53,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Frank Lange
 Posenerstr. 67
 26388 Wilhelmshaven
 Deutschland
 Telefon: 04421 809370
 E-Mail: spiel-hobby-lange@t-online.de
 USt-IdNr.: DE 237421283
 
 
 
 
 
 Die europäische Online-Streitbeilegungsplattform („OS-Plattform“) wird nach Bereitstellung durch die EU-Kommission über das Portal „Ihr Europa“ zugänglich sein.
 
 Wir sind Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter fair-commerce.de. 
Die Europäische Kommission bietet ein...",Business Name:kaufen-schenken-spielen,['spiel-hobby-lange@t-online.de'],"['421 8093', '2374212']","['t-online.de', 'fair-commerce.de.', 'ein...']"
54,Kayla-lan is committed to providing each customer with the highest standard of customer service.,Business Name:Tang Yin Xian Ren Gu Zhen Lan Xiang Mu Ying Yong Pin Bai Huo Dian,[],[],[]
55,kdjfjhkjdhd is committed to providing each customer with the highest standard of customer service.,Business Name:XiXianChengNanXiangQiLiJiaoPingJiaChaoShi,[],[],[]
56,kdo dco is committed to providing each customer with the highest standard of customer service.,Business Name:sarl jack bout,[],[],[]
57,KDRLKJ is committed to providing each customer with the highest standard of customer service.,Business Name:Shanxi ke de rui lan keji youxian gongsi,[],[],[]
58,ke shi sh is committed to providing each customer with the highest standard of customer service.,Business Name:shang hai ying ming mao yi shang hang,[],[],[]
59,Ke119eona is committed to providing each customer with the highest standard of customer service.,Business Name:JF BUTTERS LIMITED,[],[],[]
60,Keaoyibama is committed to providing each customer with the highest standard of customer service.,Business Name:Shanxi xinyoushengdakemaoyouxiangongsi,[],[],[]
61,Kebereal is committed to providing each customer with the highest standard of customer service.,Business Name:chenghuaqukeganbanfuzhuangjingyingbu,[],[],[]
62,Keersi is committed to providing each customer with the highest standard of customer service.,Business Name:Shen Zhen Shi Ke Er Si Mao Yi You Xian Gong Si,[],[],[]
63,"Herzlich willkommen bei Funkelektronik Keim Bitte wenden Sie sich bei Fragen oder Unklarkeiten an uns. Adresse:  Funkelektronik Keim, Wiesentfels 56, D-96142 Hollfeld Ansprechparter: Gerald Keim E-Mail: keimfunk@yahoo.de Tel: 09274/8574 Fax: 09274/8331 Steuer nr: 208/235/30448 Umsatzsteuer ID. Nr:   DE132312266 WEEE Nr.: DE 10937440   Entsorgung von Batterien und Akkus: Im Zusammenhang mit dem Vertrieb von Batterien oder Akkus oder mit der Lieferung von Geräten, die Batterien oder Akkus enthalte...",Business Name:Funkelektronik Keim,['keimfunk@yahoo.de'],"['1323122', '1093744']","['yahoo.de', 'enthalte...']"
64,kelashow is committed to providing each customer with the highest standard of customer service.,Business Name:Shen zhen shi wan ke la ke ji you xian gong si,[],[],[]
65,KellyPitman is committed to providing each customer with the highest standard of customer service.,Business Name:mengchengxianhaoshiliyanjingyouxianzerengongsi,[],[],[]
66,Kemmler Baustoffe GmbH is committed to providing each customer with the highest standard of customer service.,Business Name:Kemmler Baustoffe GmbH,[],[],[]
67,"Impressum: Kemper Solar GmbH Einener Dorfbauerschaft 42 48231 Warendorf Tel. 02584517 Fax:025848148 Mail: pv@solar-kemper.de Geschäftsführer: Guido Kemper Handelsregister: Amtsgericht Münster, HRB 12481 Umsatzsteuer-Identifikationsnummer: DE 270281117 Kemper Solar GmbH besteht seit 2010. Unser Haupt Geschäftsfeld besteht in der Planung und Bau von Photovoltaiksystemen und autarken Straßenleuchten weltweit.  
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hi...",Business Name:Kemper Solar GmbH,['pv@solar-kemper.de'],"['0258451', '0258481', '2702811']","['solar-kemper.de', 'hi...']"
68,"Gesetzliche Anbieterkennung:
 kenai-deko, Rackow GbR
 vertreten durch die Gesellschafter: Claus Rackow, Silvia Rackow
 In den Tannen 20
 63225 Langen
 Deutschland
 Telefon: 016096330391
 Telefax: +4932129007172
 E-Mail: info@kenai-deko.de
 USt-IdNr.: DE309050583
 Alternative Streitbeilegung:
 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)
 bereit, aufrufbar unter ec.europa.eu/consumers/odr.
Wir sind seit 15.07.2019 Mitglied der Initiative ""Fa...","Business Name:kenai-deko, Eheleute Rackow GbR",['info@kenai-deko.de'],"['0160963303', '4932129007', '3090505']","['kenai-deko.de', 'ec.europa.eu/consumers/odr.', '15.07.2019', 'Fa...']"
69,KENBOB is committed to providing each customer with the highest standard of customer service.,Business Name:quanzhouxinshengbairushangmaofazhanyouxiangongsi,[],[],[]
70,Kenralic is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenshijingguanweitingkejiyouxiangongsi,[],[],[]
71,kepuhong is committed to providing each customer with the highest standard of customer service.,Business Name:Shanxikepuhongzaoyeyouxiangongsi,[],[],[]
72,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 kerima-tools GmbH
 diese vertreten durch den Geschäftsführer Mehmet Kerim Kahraman
 Hainhölzer Str. 3
 30159 Hannover
 Deutschland
 Telefon: 05115455911
 Telefax: 05115455862
 E-Mail: kerima.tools@gmx.de
 USt-IdNr.: DE815721575 
 WEEE-Reg.-Nr.: DE 55755443
 eingetragen im Handelsregister des Amtsgerichtes Hannvoer
 Handelsregisternummer HRB 215722
 
 
 
 
 
 Alternative Streitbeilegung:
Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Str...",Business Name:kerima-tools GmbH,['kerima.tools@gmx.de'],"['0511545591', '0511545586', '8157215', '5575544']","['kerima.tools', 'gmx.de', 'WEEE-Reg.-Nr.', 'Online-Str...']"
73,Kerlife is committed to providing each customer with the highest standard of customer service.,Business Name:Cheng du xin yue qin mao yi you xian gong si,[],[],[]
74,"Impressum:
KERRI Keramik    
Ute Richter    
Pilgramer Straße 40
D 12623 Berlin
Deutschland    
Telefon: 0049 - (0)30 - 54 70 15 05
E-Mail: kerri-keramik@web.de
Umsatzsteuer-Identifikationsnummer: DE 136885061
Steuernummer: 33 492 64 141

Hinweis:Zur außergerichtlichen Beilegung von verbraucherrechtlichen 
Streitigkeiten hat die Europäische Union eine Online-Plattform 
(“OS-Plattform”) initiiert:
///https://ec.europa.eu/consumers/odr/",Business Name:Kerri-Keramik  Ute Richter,['kerri-keramik@web.de'],['1368850'],"['web.de', 'https://ec.europa.eu/consumers/odr/']"
75,"Kessler electronic GmbH
 Dieselstrasse 4
 50170 Kerpen
 
 Geschäftsführer: Angelika Simons
 Telefon: + 49 (0)2273 / 991-9325 (werktags 9:00-16:00)
 Telefax: + 49 (0)2273 / 991-9327
 email: info@kessler-electronic.de
 Internet: kessler-electronic.de
 
 Handelsregister-Nummer: HRB 42985 beim Amtsgericht Köln Umsatzsteuer-Identifikationsnummer nach § 27a des Umsatzsteuergesetzes: DE 186118905
 
   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.eur...",Business Name:Kessler electronic GmbH,['info@kessler-electronic.de'],"['991-9325', '991-9327', '1861189']","['kessler-electronic.de', 'kessler-electronic.de', 'https://ec.eur...']"
